,index,id,dataReferencia,municipio,tipo,valor,quantidadeBeneficiados
0,nomeIBGE,75602145,01/01/2019,RIO BRANCO,,5135763.0,22166
0,nomeIBGE,66102401,01/02/2019,RIO BRANCO,,5208434.0,22359
0,nomeIBGE,76402881,01/03/2019,RIO BRANCO,,5312988.0,22623
0,nomeIBGE,70703316,01/04/2019,RIO BRANCO,,5333688.0,22575
0,nomeIBGE,70803722,01/05/2019,RIO BRANCO,,5410323.0,22665
0,nomeIBGE,67303670,01/06/2019,RIO BRANCO,,5308782.0,22157
0,nomeIBGE,64404674,01/07/2019,RIO BRANCO,,5307165.0,21947
0,nomeIBGE,70304648,01/08/2019,RIO BRANCO,,5302515.0,21910
0,nomeIBGE,65704661,01/09/2019,RIO BRANCO,,5196705.0,21335
0,nomeIBGE,73304849,01/10/2019,RIO BRANCO,,5185982.0,21246
0,nomeIBGE,65802364,01/11/2019,RIO BRANCO,,5123393.0,20802
0,nomeIBGE,71403656,01/01/2019,MACEIÓ,,9418230.0,56474
0,nomeIBGE,75703910,01/02/2019,MACEIÓ,,9517136.0,56689
0,nomeIBGE,72604210,01/03/2019,MACEIÓ,,9620191.0,57051
0,nomeIBGE,72604694,01/04/2019,MACEIÓ,,9599263.0,56931
0,nomeIBGE,74105000,01/05/2019,MACEIÓ,,9702014.0,57086
0,nomeIBGE,65905144,01/06/2019,MACEIÓ,,9445340.0,55668
0,nomeIBGE,66702839,01/07/2019,MACEIÓ,,9358873.0,54857
0,nomeIBGE,68702779,01/08/2019,MACEIÓ,,9319720.0,54694
0,nomeIBGE,68803139,01/09/2019,MACEIÓ,,9109301.0,53287
0,nomeIBGE,71403306,01/10/2019,MACEIÓ,,9130029.0,53150
0,nomeIBGE,66403597,01/11/2019,MACEIÓ,,8805285.0,50585
0,nomeIBGE,64103178,01/01/2019,MACAPÁ,,6022895.0,29853
0,nomeIBGE,64303875,01/02/2019,MACAPÁ,,6146451.0,30070
0,nomeIBGE,76304238,01/03/2019,MACAPÁ,,6295976.0,30374
0,nomeIBGE,74204684,01/04/2019,MACAPÁ,,6371793.0,30469
0,nomeIBGE,70004656,01/05/2019,MACAPÁ,,6492224.0,30661
0,nomeIBGE,65604784,01/06/2019,MACAPÁ,,6384828.0,30084
0,nomeIBGE,72002290,01/07/2019,MACAPÁ,,6387606.0,29814
0,nomeIBGE,69502338,01/08/2019,MACAPÁ,,6404036.0,29762
0,nomeIBGE,76002858,01/09/2019,MACAPÁ,,6358339.0,29277
0,nomeIBGE,63603582,01/10/2019,MACAPÁ,,6354129.0,29225
0,nomeIBGE,68103402,01/11/2019,MACAPÁ,,6273559.0,28553
0,nomeIBGE,76304385,01/01/2019,MANAUS,,19760839.0,118979
0,nomeIBGE,74304210,01/02/2019,MANAUS,,19894724.0,119294
0,nomeIBGE,65604387,01/03/2019,MANAUS,,20104936.0,119774
0,nomeIBGE,71904853,01/04/2019,MANAUS,,20256874.0,119364
0,nomeIBGE,69602306,01/05/2019,MANAUS,,20656354.0,119735
0,nomeIBGE,73302335,01/06/2019,MANAUS,,20230556.0,117087
0,nomeIBGE,66703068,01/07/2019,MANAUS,,20051622.0,115230
0,nomeIBGE,75903053,01/08/2019,MANAUS,,20027458.0,114996
0,nomeIBGE,67303354,01/09/2019,MANAUS,,19740874.0,112364
0,nomeIBGE,65803969,01/10/2019,MANAUS,,19749418.0,112060
0,nomeIBGE,73904205,01/11/2019,MANAUS,,19004138.0,107248
0,nomeIBGE,63304169,01/01/2019,SALVADOR,,25844469.0,163485
0,nomeIBGE,73003895,01/02/2019,SALVADOR,,26202653.0,164678
0,nomeIBGE,69404886,01/03/2019,SALVADOR,,26548148.0,165954
0,nomeIBGE,73004881,01/04/2019,SALVADOR,,26584709.0,165524
0,nomeIBGE,64302411,01/05/2019,SALVADOR,,26891619.0,165900
0,nomeIBGE,70902461,01/06/2019,SALVADOR,,26255429.0,162270
0,nomeIBGE,73702508,01/07/2019,SALVADOR,,25958952.0,159667
0,nomeIBGE,71603351,01/08/2019,SALVADOR,,25888395.0,159269
0,nomeIBGE,75003663,01/09/2019,SALVADOR,,25262250.0,155339
0,nomeIBGE,65003537,01/10/2019,SALVADOR,,25308317.0,154758
0,nomeIBGE,62804245,01/11/2019,SALVADOR,,24111838.0,145286
0,nomeIBGE,62703359,01/01/2019,FORTALEZA,,35946874.0,197650
0,nomeIBGE,69603665,01/02/2019,FORTALEZA,,36213974.0,199078
0,nomeIBGE,66604058,01/03/2019,FORTALEZA,,36930808.0,201386
0,nomeIBGE,62404290,01/04/2019,FORTALEZA,,37186825.0,201218
0,nomeIBGE,64305114,01/05/2019,FORTALEZA,,37939132.0,203046
0,nomeIBGE,74605526,01/06/2019,FORTALEZA,,37394893.0,199352
