Date,Rain_mm
8/21/2018,0
8/22/2018,0
8/23/2018,0.6
8/24/2018,2
8/25/2018,5.6
8/26/2018,0.2
8/27/2018,0.2
8/28/2018,0
8/29/2018,0.8
8/30/2018,0
8/31/2018,0.1
9/1/2018,0
9/2/2018,0
9/3/2018,0
9/4/2018,2.3
9/5/2018,0
9/6/2018,0
9/7/2018,0
9/8/2018,3.6
9/9/2018,0
9/10/2018,0
9/11/2018,0
9/12/2018,0
9/13/2018,0.5
9/14/2018,0
9/15/2018,0
9/16/2018,0.1
9/17/2018,0
9/18/2018,0.4
9/19/2018,19.8
9/20/2018,4.2
9/21/2018,3.4
9/22/2018,0
9/23/2018,0.6
9/24/2018,5.5
9/25/2018,0
9/26/2018,0.4
9/27/2018,6.8
9/28/2018,11.5
9/29/2018,1.3
9/30/2018,0
10/1/2018,1.5
10/2/2018,0
10/3/2018,0.1
10/4/2018,1.3
10/5/2018,0
10/6/2018,0
10/7/2018,0
10/8/2018,40.8
10/9/2018,33.9
10/10/2018,7.9
10/11/2018,0
10/12/2018,2.5
10/13/2018,0
10/14/2018,0.2
10/15/2018,1.5
10/16/2018,0
10/17/2018,0
10/18/2018,0
10/19/2018,0
10/20/2018,0.6
10/21/2018,0.1
10/22/2018,0
10/23/2018,0
10/24/2018,0
10/25/2018,0
10/26/2018,0
10/27/2018,0
10/28/2018,0
10/29/2018,0
10/30/2018,1.2
10/31/2018,0
11/1/2018,0
11/2/2018,0.6
11/3/2018,0.1
11/4/2018,0.1
11/5/2018,0
11/6/2018,0
11/7/2018,0
11/8/2018,4.2
11/9/2018,0
11/10/2018,0
11/11/2018,0
11/12/2018,0.1
11/13/2018,0
11/14/2018,0
11/15/2018,0
11/16/2018,0
11/17/2018,1.4
11/18/2018,0
11/19/2018,0
11/20/2018,0
11/21/2018,34.8
11/22/2018,3
11/23/2018,15.7
11/24/2018,1.6
11/25/2018,0
11/26/2018,0
11/27/2018,0
11/28/2018,0
11/29/2018,0
11/30/2018,1.8
12/1/2018,2.2
12/2/2018,0
12/3/2018,0
12/4/2018,0
12/5/2018,0
12/6/2018,0
12/7/2018,0
12/8/2018,3.9
12/9/2018,25
12/10/2018,0.4
12/11/2018,0
12/12/2018,0
12/13/2018,1
12/14/2018,0
12/15/2018,0
12/16/2018,0
12/17/2018,0
12/18/2018,0
12/19/2018,0
12/20/2018,0
12/21/2018,0
12/22/2018,0
12/23/2018,1.3
12/24/2018,0.3
12/25/2018,0.5
12/26/2018,0.2
12/27/2018,2.6
12/28/2018,9.7
12/29/2018,2.1
12/30/2018,23.6
12/31/2018,2.1
1/1/2019,0
1/2/2019,8.2
1/3/2019,8.7
1/4/2019,8.2
1/5/2019,0
1/6/2019,0
1/7/2019,0
1/8/2019,0
1/9/2019,81.8
1/10/2019,6.9
1/11/2019,3.6
1/12/2019,0
1/13/2019,4.2
1/14/2019,0.8
1/15/2019,0.6
1/16/2019,1.8
1/17/2019,0
1/18/2019,0
1/19/2019,0
1/20/2019,0
1/21/2019,0
1/22/2019,0
1/23/2019,0
1/24/2019,0
1/25/2019,24.2
1/26/2019,0
1/27/2019,0
1/28/2019,0
1/29/2019,0
1/30/2019,0
1/31/2019,0
2/1/2019,1
2/2/2019,2
2/3/2019,3
2/4/2019,4
2/5/2019,5
2/6/2019,6
2/7/2019,7
2/8/2019,8
2/9/2019,9
2/10/2019,10
2/11/2019,11
2/12/2019,12
2/13/2019,13
2/14/2019,14
2/15/2019,15
2/16/2019,16
2/17/2019,17
2/18/2019,18
2/19/2019,19
2/20/2019,20
2/21/2019,21
2/22/2019,22
2/23/2019,23
2/24/2019,24
2/25/2019,25
2/26/2019,26
2/27/2019,27
2/28/2019,28
3/1/2019,29
3/2/2019,30
3/3/2019,31
